item_id,name,rarity,price,seal_flag,endurance
1000,野草莓,consumable,1500,0,0
1001,烤硬的黑面包,consumable,1500,0,0
1002,朗姆酒,consumable,3000,0,0
1003,牛排,consumable,4000,0,0
1004,苎麻花叶,consumable,1000,0,0
1005,冰冻恢复剂,consumable,2000,0,0
1006,加速药剂,consumable,2000,0,0
1007,圣水,consumable,2000,0,0
1008,中毒恢复剂,consumable,2000,0,0
1009,解冻药水,consumable,2000,0,0
1010,解毒药水,consumable,2000,0,0
1011,牛头怪的尾巴,consumable,2000,0,0
1013,肉干,consumable,4000,0,0
1014,萨乌塔的角,consumable,2000,0,0
1015,哥布林尘埃,consumable,800,0,0
1016,锐眼药剂,consumable,5000,0,0
1017,火蜥蜴药水,consumable,4000,0,0
1018,雪杰克药水,consumable,3000,0,0
1019,小世界仪,consumable,2000,0,0
1020,火符咒,consumable,3000,0,0
1021,冰符咒,consumable,3000,0,0
1022,暗符咒,consumable,3000,0,0
1023,光符咒,consumable,3000,0,0
1024,天空之海符咒,consumable,3000,0,0
1025,狂龙之吼,consumable,18000,0,0
1026,食人魔药剂,consumable,3000,0,0
1027,锐眼药水,consumable,8500,0,0
1028,食人魔药水,consumable,3000,0,0
1029,魔力之语药剂,consumable,2000,0,0
1030,魔力之语药水,consumable,2000,0,0
1032,索西雅特制的精灵啤酒,consumable,2000,0,0
1047,命运硬币,consumable,3000,0,0
1048,天空之城泉水,consumable,2000,0,0
1049,天空之城露水,consumable,2000,0,0
1050,眩晕恢复剂,consumable,2000,0,0
1051,石化恢复剂,consumable,2000,0,0
1052,失明恢复剂,consumable,2000,0,0
1053,混乱恢复剂,consumable,2000,0,0
1054,出血恢复剂,consumable,2000,0,0
1059,珊瑚果冻,consumable,3000,0,0
1060,天帷巨兽的鳞片,consumable,2000,0,0
1061,睡眠贝肉,consumable,4000,0,0
1062,越桔,consumable,2000,0,0
1063,甜瓜,consumable,2500,0,0
1064,熟透的葡萄,consumable,2000,0,0
1065,魔力之花,consumable,2000,0,0
1066,精灵香精,consumable,3000,0,0
1067,魔力之水,consumable,2000,0,0
1068,黄金圣餐,consumable,20000,0,0
1069,神圣葡萄酒,consumable,2000,0,0
1070,蓝色圣经,consumable,3000,0,0
1071,圣杯,consumable,3000,0,0
1072,邪恶药剂,consumable,2000,0,0
1073,藤蔓种子,consumable,500,0,0
1074,大世界仪,consumable,4000,0,0
1079,大块肉干,consumable,5000,0,0
1080,暗黑城特产干酪,consumable,7000,0,0
1081,黑色龙舌兰酒,consumable,2000,0,0
1082,暗黑倾向药剂,consumable,3000,0,0
1089,突变草莓,consumable,3000,0,0
1090,突变苎麻花叶,consumable,3000,0,0
1091,浓缩的元素药剂,consumable,3000,0,0
1092,跃翔药剂,consumable,2000,0,0
1094,灼伤恢复剂,consumable,2000,0,0
1095,冷藏的羊肉,consumable,4000,0,0
1096,冷藏的乳袋,consumable,3000,0,0
1097,马奶酒,consumable,4000,0,0
1098,羊奶酸乳,consumable,1500,0,0
1106,诺顿的新手HP药剂,consumable,300,0,0
1107,诺顿的入门HP药剂,consumable,500,0,0
1108,诺顿的普通HP药剂,consumable,1000,0,0
1109,诺顿的熟练HP药剂,consumable,1500,0,0
1110,诺顿的专家HP药剂,consumable,2000,0,0
1111,诺顿的达人HP药剂,consumable,2500,0,0
1112,罗莉安的新手MP药剂,consumable,300,0,0
1113,罗莉安的入门MP药剂,consumable,500,0,0
1114,罗莉安的普通MP药剂,consumable,1000,0,0
1115,罗莉安的熟练MP药剂,consumable,1500,0,0
1116,罗莉安的专家MP药剂,consumable,2000,0,0
1117,罗莉安的达人MP药剂,consumable,2500,0,0
1124,圣光万灵药,consumable,30000,0,0
1150,新手中毒解除药剂,consumable,500,0,0
1151,普通中毒解除药剂,consumable,1000,0,0
1152,专家中毒解除药剂,consumable,2000,0,0
1153,新手冰冻解除药剂,consumable,500,0,0
1154,普通冰冻解除药剂,consumable,1000,0,0
1155,专家冰冻解除药剂,consumable,2000,0,0
1156,新手眩晕解除药剂,consumable,500,0,0
1157,普通眩晕解除药剂,consumable,1000,0,0
1158,专家眩晕解除药剂,consumable,2000,0,0
1159,新手石化解除药剂,consumable,500,0,0
1160,普通石化解除药剂,consumable,1000,0,0
1161,专家石化解除药剂,consumable,2000,0,0
1162,新手失明解除药剂,consumable,500,0,0
1163,普通失明解除药剂,consumable,1000,0,0
1164,专家失明解除药剂,consumable,2000,0,0
1165,新手混乱解除药剂,consumable,500,0,0
1166,普通混乱解除药剂,consumable,1000,0,0
1167,专家混乱解除药剂,consumable,2000,0,0
1168,新手出血解除药剂,consumable,500,0,0
1169,普通出血解除药剂,consumable,1000,0,0
1170,专家出血解除药剂,consumable,2000,0,0
1171,新手疾病解除药剂,consumable,500,0,0
1172,普通疾病解除药剂,consumable,1000,0,0
1173,专家疾病解除药剂,consumable,2000,0,0
1174,新手精神支配解除药剂,consumable,500,0,0
1176,专家精神支配解除药剂,consumable,2000,0,0
1177,新手沉默解除药剂,consumable,500,0,0
1178,普通沉默解除药剂,consumable,1000,0,0
1179,专家沉默解除药剂,consumable,2000,0,0
1180,新手灼伤解除药剂,consumable,500,0,0
1181,普通灼伤解除药剂,consumable,1000,0,0
1182,专家灼伤解除药剂,consumable,2000,0,0
1183,异界气息净化书,consumable,5000000,0,0
1188,变异的力量扭转书,consumable,8000000,0,0
1189,变异的智力扭转书,consumable,8000000,0,0
1190,变异的生命扭转书,consumable,8000000,0,0
1191,变异的魔力扭转书,consumable,8000000,0,0
1192,新手睡眠解除药剂,consumable,500,0,0
1193,普通睡眠解除药剂,consumable,1000,0,0
1194,专家睡眠解除药剂,consumable,2000,0,0
1233,海贼的储备粮食,consumable,8000,0,0
1234,皇都军的军用水桶,consumable,4000,0,0
1235,皇都军的面包,consumable,3000,0,0
1239,暗精灵的解除睡眠药剂,consumable,2000,0,0
1240,暗精灵的解除中毒药剂,consumable,2000,0,0
1241,暗精灵的解除混乱药剂,consumable,2000,0,0
1249,神圣水晶,consumable,5000,0,0
1250,恶灵的气息,consumable,8000,0,0
1251,精制的装备合成器,consumable,5000000,0,0
1252,神圣的装备合成器,consumable,8000000,0,0
3012,猫妖脚爪,consumable,1000,0,0
3015,哥布林手骨,consumable,1000,0,0
3016,魔法师的血液,consumable,2000,0,0
3019,紫玛瑙,consumable,3500,0,0
3020,黑曜石,consumable,3500,0,0
3021,血滴石,consumable,3500,0,0
3022,海蓝宝石,consumable,3500,0,0
3023,金刚石,consumable,4000,0,0
3027,生锈的铁片,consumable,300,0,0
3030,碎布片,consumable,200,0,0
3033,黑色小晶块,consumable,250,0,0
3034,白色小晶块,consumable,250,0,0
3035,红色小晶块,consumable,250,0,0
3036,蓝色小晶块,consumable,250,0,0
3037,无色小晶块,consumable,100,0,0
3038,黑色大晶体,consumable,20000,0,0
3039,白色大晶体,consumable,20000,0,0
3040,红色大晶体,consumable,20000,0,0
3041,蓝色大晶体,consumable,20000,0,0
3042,无色大晶体,consumable,8000,0,0
3047,林纳斯的火炉使用券,consumable,100000,0,0
3050,克尔顿的印章,consumable,5000,0,0
3051,斯卡迪女王的印章,consumable,8000,0,0
3052,赫仑皇帝的印章,consumable,8000,0,0
3053,撒勒的印章,consumable,5000,0,0
3065,凯诺的毛皮,consumable,3000,0,0
3069,毒猫王的毒牙,consumable,3000,0,0
3071,牛头怪的硬角,consumable,1500,0,0
3074,清凉的罗荆果,consumable,2000,0,0
3075,熟透的山葡萄,consumable,2000,0,0
3093,赫顿玛尔地图,consumable,1000,0,0
3108,坚韧的触须,consumable,2000,0,0
3109,破损的刀刃,consumable,800,0,0
3111,锋利的尖刺,consumable,2000,0,0
3112,龙头炮的炮身,consumable,5000,0,0
3113,藤蔓根茎,consumable,2000,0,0
3114,邪恶的结晶,consumable,5000,0,0
3115,耀眼的结晶,consumable,5000,0,0
3116,黑硬的物质,consumable,3000,0,0
3117,次品芯片,consumable,2000,0,0
3122,圣痕丝绸,consumable,3000,0,0
3123,尖晶石,consumable,3500,0,0
3124,萤石,consumable,3500,0,0
3125,锆石,consumable,3500,0,0
3128,龙人之眼,consumable,3000,0,0
3130,幻觉草种子,consumable,3000,0,0
3131,夜叉的声带,consumable,3000,0,0
3132,罗丁的种子,consumable,4000,0,0
3134,粗糙的布片,consumable,300,0,0
3135,普通布片,consumable,600,0,0
3136,厚绒布片,consumable,2000,0,0
3137,高级布片,consumable,2500,0,0
3142,风化的碎骨,consumable,300,0,0
3143,加工过的碎骨,consumable,800,0,0
3144,普通碎骨,consumable,600,0,0
3145,粗重的碎骨,consumable,2000,0,0
3146,上等碎骨,consumable,2500,0,0
3147,偏软的铁片,consumable,500,0,0
3148,普通铁片,consumable,600,0,0
3149,坚硬的铁片,consumable,1500,0,0
3150,钢铁片,consumable,2000,0,0
3151,最下级硬化剂,consumable,400,0,0
3152,下级硬化剂,consumable,800,0,0
3153,中级硬化剂,consumable,1500,0,0
3154,上级硬化剂,consumable,2500,0,0
3155,特级硬化剂,consumable,3500,0,0
3156,最下级砥石,consumable,400,0,0
3157,下级砥石,consumable,800,0,0
3158,中级砥石,consumable,1500,0,0
3159,上级砥石,consumable,2500,0,0
3160,特级砥石,consumable,4000,0,0
3166,下级元素结晶,consumable,250,0,0
3167,上级元素结晶,consumable,6500,0,0
3168,火焰石,consumable,3000,0,0
3169,冰晶石,consumable,3000,0,0
3170,无重力碎片,consumable,3000,0,0
3171,炉岩炭,consumable,150,0,0
3172,闪光石,consumable,3000,0,0
3173,暗影石,consumable,3000,0,0
3174,透明石,consumable,3000,0,0
3176,魔法师琳恩的印章,consumable,5000,0,0
3177,灵魂碎片,consumable,2000,0,0
3178,风之流动,consumable,3000,0,0
3179,守护之印记,consumable,3000,0,0
3180,冰之水晶,consumable,3000,0,0
3181,炎之内核,consumable,5000,0,0
3182,光之心脏,consumable,2000,0,0
3184,希望种子,consumable,3000,0,0
3185,黄金种子,consumable,3000,0,0
3186,波罗丁的印章,consumable,8000,0,0
3187,灵魂晶石,consumable,2500,0,0
3203,被污染的蜘蛛腿,consumable,800,0,0
3205,泰拉石,consumable,7000,0,0
3206,博肯人偶,consumable,10000,0,0
3210,邪念体,consumable,8000,0,0
3211,锋利的狼牙,consumable,2000,0,0
3212,雪虎的毛皮,consumable,3000,0,0
3216,宇宙之眼,consumable,8000,0,0
3217,王之石像碎块,consumable,2000,0,0
3218,疯狂盗贼的口罩,consumable,800,0,0
3221,灾难的征兆,consumable,4000,0,0
3222,来自异界的怨恨,consumable,5000,0,0
3227,魔力溶解剂,consumable,200,0,0
3229,混沌魔石碎片,consumable,1500,0,0
3230,垃圾桶盖,consumable,1000,0,0
3240,光辉之魔石,consumable,50000,0,0
3241,光辉之魔石碎片,consumable,5000,0,0
3242,矛盾的结晶体,consumable,120000,0,0
3243,强烈之痕迹,consumable,5000,0,0
3244,浓缩的纯洁之骸,consumable,3000000,0,0
3245,浓缩的异界精髓,consumable,600000,0,0
3249,卡勒特干部的徽章,consumable,8000,0,0
3253,使徒的气息,consumable,300000,0,0
3254,戮蛊的眼睛,consumable,12000,0,0
3255,威严恶魔的挑战书,consumable,25000,0,0
3262,金色小晶块,consumable,9000,0,0
3263,金色大晶体,consumable,120000,0,0
3266,粗糙的机械零件,consumable,2000,0,0
3267,卡勒特首领的徽章,consumable,8000,0,0
3268,星星碎片,consumable,2000,0,0
3269,柴火,consumable,1000,0,0
3270,碎肉块,consumable,1000,0,0
3271,弹药包,consumable,3000,0,0
3272,步枪零件,consumable,2000,0,0
3273,枪械修理工具,consumable,2000,0,0
3274,扳手,consumable,1000,0,0
3275,彩妆用品,consumable,1000,0,0
3276,防弹金属碎片,consumable,2000,0,0
3278,神奇的梦之粉,consumable,2000,0,0
3279,死亡雪花,consumable,2000,0,0
3281,扭曲恶魔的挑战书,consumable,25000,0,0
3283,震撼恶魔的挑战书,consumable,25000,0,0
3286,觉醒之核,consumable,5000,0,0
3294,海贼团员戒指,consumable,2000,0,0
3295,副船长的戒指,consumable,2000,0,0
3296,天界珍珠,consumable,3000,0,0
3297,坚硬的龟壳,consumable,3000,0,0
3298,有用的零件,consumable,2000,0,0
3299,虚空魔石,consumable,40000,0,0
3300,虚空魔石碎片,consumable,4000,0,0
3301,红色钻石,consumable,5000,0,0
3303,英雄的宿命,consumable,4000,0,0
3304,恶灵的密语,consumable,5000,0,0
3305,污秽之血,consumable,5000,0,0
3306,狄瑞吉之血,consumable,8000,0,0
3307,天界徽章,consumable,5000,0,0
